Class,Not_Transit-like_False_Positive_Flag,Orbit_Period,Transit_Epoch,Transit_Duration,Transit_Depth,Planetary_Radius,Insolation_Flux,Transit_Signal-to-Noise,Stellar_Surface_Gravity,Stellar_Radius
1,0,2.237489571,170.81914,1.8119,315.8,1.41,427.17,30.7,4.58,0.81
0,0,5.851520671,173.8228336,3.11058,33004.0,14.62,155.89,1630.4,4.53,0.806
1,0,3.167893418,172.147959,2.1814,781.2,2.62,526.23,64.8,4.503,0.94
1,0,4.311780262,173.576483,2.7251,1154.0,3.11,274.84,86.1,4.484,0.927
1,0,20.0504494,188.08821,4.556,840.9,2.69,35.44,37.8,4.484,0.927
1,0,9.76734503,186.57718,1.6585,569.1,2.67,92.46,21.1,4.484,0.927
1,0,119.0207044,222.236492,8.1405,7430.5,8.98,4.25,223.5,4.342,1.062
1,0,190.3200468,312.68498,15.284,1141.7,7.78,7.8,139.3,3.907,2.057
0,0,2.861159894,171.648106,1.8832,1014.3,4.37,797.1,58.3,4.458,1.021
1,0,26.44439337,194.12074,3.9783,1843.5,3.91,23.54,88.0,4.463,0.929
1,0,51.53997972,174.055011,6.3994,3644.3,5.51,9.67,155.5,4.463,0.929
1,0,5.902245782,136.78393,2.9003,702.3,2.43,173.74,59.3,4.463,0.929
1,0,2.382951591,135.080841,1.8876,391.6,1.86,583.01,41.4,4.463,0.929
1,0,21.02250608,207.67593,4.1072,1772.5,3.07,17.48,62.4,4.585,0.75
1,0,3.219814777,133.00406,2.0642,488.2,1.69,234.93,30.5,4.562,0.787
1,0,5.912273234,172.184012,2.3254,961.4,1.73,27.72,62.8,4.696,0.57
1,0,8.98581901,175.68418,2.8606,881.3,1.65,15.9,51.8,4.696,0.57
0,0,12.940668656,179.423014,2.4845,42450.0,22.94,64.64,307.5,4.572,0.809
1,0,20.5452375,137.91394,2.517,218.5,2.41,71.57,18.5,4.206,1.264
1,0,33.60123371,186.680343,4.4056,7425.9,8.46,14.22,247.9,4.447,0.93
1,0,6.76652928,138.0637,2.9004,450.7,1.97,120.48,29.2,4.447,0.93
1,0,4.347288783,172.23343,2.1024,451.6,2.36,449.79,39.7,4.345,1.122
1,0,4.601811819,169.98108,2.2607,755.9,2.35,152.91,60.8,4.496,0.833
1,0,11.18719905,137.17814,3.252,353.6,1.55,46.65,21.9,4.496,0.833
1,0,4.220965778,170.622433,3.0854,2260.0,2.62,29.68,157.8,4.747,0.517
0,0,6.998099523,171.898913,2.0488,20285.0,588.66,125.22,192.3,4.566,0.829
1,0,5.95489993,170.955871,2.3892,1410.7,2.33,38.52,87.2,4.641,0.633
1,0,12.03987488,181.22536,2.7363,1250.6,2.18,15.06,57.6,4.641,0.633
1,0,20.83762895,132.08488,2.3734,439.0,1.42,7.24,14.9,4.641,0.633
0,0,8.8111022,136.4568,5.0683,401.1,63.66,904.92,76.8,3.8,2.404
1,0,23.58917143,173.81994,5.073,1200.7,3.16,13.34,53.3,4.566,0.721
1,0,6.481633073,122.977657,3.784,298.5,2.54,406.25,125.6,4.213,1.302
1,0,10.37168928,172.61729,3.035,1254.9,3.2,63.68,64.5,4.457,0.888
1,0,3.96996298,137.75447,1.1757,299.2,1.78,229.37,15.0,4.457,0.888
1,0,4.40841331,172.18582,5.012,549.4,2.66,398.0,45.1,4.457,0.961
0,0,7.9426176,174.52563,6.703,1590.7,4.68,140.57,60.4,4.521,0.926
1,0,226.8904775,207.35971,7.558,3136.4,4.53,0.73,46.8,4.585,0.75
0,0,1.956811408,170.694208,2.1958,24905.0,21.58,357.16,125.4,4.657,0.603
1,0,2.688899233,170.1020904,2.11275,37492.0,12.04,175.76,1011.6,4.667,0.639
1,0,9.439459486,177.186096,2.8979,3036.1,4.16,52.32,175.2,4.597,0.779
1,0,11.523067458,131.969055,3.8757,507.3,3.13,174.81,142.0,4.162,1.411
0,1,20.47748843,178.66786,2.8364,1382.4,2.92,18.65,52.7,4.597,0.779
1,0,3.336123113,135.31623,1.9616,516.3,1.74,209.79,41.6,4.597,0.779
1,0,8.01078456,170.20739,2.312,1333.6,1.72,9.9,48.5,4.779,0.47
1,0,12.07134205,143.45948,4.3224,759.2,1.29,5.74,31.0,4.779,0.47
1,0,20.99587872,152.31554,2.6333,767.3,1.3,2.74,18.2,4.779,0.47
1,0,7.41113177,175.34754,2.5242,620.5,2.45,158.11,50.4,4.517,0.919
0,0,1.000747038,169.974229,0.9967,1823.5,4.14,1635.2,147.4,4.499,0.79
1,0,8.884922995,169.991686,2.07004,16053.0,10.51,83.21,388.2,4.5,0.843
1,0,8.09888906,176.623731,4.20241,6911.1,8.95,223.19,435.9,4.442,1.076
1,0,10.00653012,176.96898,5.344,936.1,3.52,139.21,71.9,4.47,1.001
1,0,17.855221681,146.596466,7.41287,9065.2,13.16,163.04,915.7,4.308,1.367
1,0,12.732624065,176.939054,2.2083,6465.7,4.87,8.22,210.5,4.721,0.541
1,0,83.92494032,236.76334,6.7904,7958.7,4.78,0.62,182.1,4.746,0.509
